algo name,input dist,retval,n elem,round no,n comps,time sec
bubblesort,random,0,1000,1,499500,0.001103800
bubblesort,random,0,1000,2,499500,0.001092300
bubblesort,random,0,1000,3,499500,0.001081200
bubblesort,rising,0,1000,1,499500,0.000771600
bubblesort,rising,0,1000,2,499500,0.000762600
bubblesort,rising,0,1000,3,499500,0.000681600
bubblesort,almost rising,0,1000,1,499500,0.000824300
bubblesort,almost rising,0,1000,2,499500,0.000761900
bubblesort,almost rising,0,1000,3,499500,0.000763300
insertion,random,0,1000,1,242909,0.000574100
insertion,random,0,1000,2,253604,0.000626600
insertion,random,0,1000,3,254197,0.000628600
insertion,rising,0,1000,1,999,0.000001900
insertion,rising,0,1000,2,999,0.000001800
insertion,rising,0,1000,3,999,0.000001700
insertion,almost rising,0,1000,1,14105,0.000033900
insertion,almost rising,0,1000,2,12749,0.000032000
insertion,almost rising,0,1000,3,16041,0.000037300
merge sort,random,0,1000,1,8736,0.000107200
merge sort,random,0,1000,2,8728,0.000095400
merge sort,random,0,1000,3,8715,0.000092100
merge sort,rising,0,1000,1,4932,0.000069700
merge sort,rising,0,1000,2,4932,0.000063100
merge sort,rising,0,1000,3,4932,0.000062300
merge sort,almost rising,0,1000,1,6558,0.000070800
merge sort,almost rising,0,1000,2,6882,0.000072800
merge sort,almost rising,0,1000,3,6730,0.000072700
high pivot quicksort,random,0,1000,1,10906,0.000069300
high pivot quicksort,random,0,1000,2,11391,0.000065500
high pivot quicksort,random,0,1000,3,12433,0.000066400
high pivot quicksort,rising,0,1000,1,500500,0.001281400
high pivot quicksort,rising,0,1000,2,500500,0.001456800
high pivot quicksort,rising,0,1000,3,500500,0.001218700
high pivot quicksort,almost rising,0,1000,1,143223,0.000324500
high pivot quicksort,almost rising,0,1000,2,54092,0.000116700
high pivot quicksort,almost rising,0,1000,3,89699,0.000183000
selection,random,0,1000,1,499500,0.001759700
selection,random,0,1000,2,499500,0.001721100
selection,random,0,1000,3,499500,0.001649200
selection,rising,0,1000,1,499500,0.001660600
selection,rising,0,1000,2,499500,0.001616000
